Run number,d',w',w,tau,d,Max height,Mean height,Mean gradient,Mean soil thickness,Fractional soil cover,Total number of surface faces,Number of soil-air faces,Number of rock-air faces
1,0.1,0.4,0.004,100,0.001,131.5,65.69565217,1.186685907,0.404669261,0.225921522,841,190,651
2,0.316227766,0.4,0.004,100,0.003162278,129,65.72332016,1.161538218,0.463035019,0.249718785,889,222,667
3,1,0.4,0.004,100,0.01,126,63.37549407,1.136480728,0.474708171,0.284185493,841,239,602
4,3.16227766,0.4,0.004,100,0.031622777,116.5,61.75098814,1.047435538,0.373540856,0.21922626,853,187,666
5,10,0.4,0.004,100,0.1,107.5,57.64426877,0.97213679,0.46692607,0.266285714,875,233,642
6,0.316227766,0.4,0.001264911,316.227766,0.001,127,66.95256917,1.143299829,0.501945525,0.288393904,853,246,607
7,1,0.4,0.001264911,316.227766,0.003162278,126,65.8972332,1.127334474,0.474708171,0.254685777,907,231,676
8,3.16227766,0.4,0.001264911,316.227766,0.01,118.5,63.84189723,1.06800108,0.544747082,0.296340024,847,251,596
9,10,0.4,0.001264911,316.227766,0.031622777,107,58.50988142,0.956171434,0.447470817,0.260115607,865,225,640
10,31.6227766,0.4,0.001264911,316.227766,0.1,89.5,49.8458498,0.789554462,0.443579767,0.280350438,799,224,575
11,1,0.4,0.0004,1000,0.001,126.5,65.03952569,1.129571427,0.494163424,0.286857143,875,251,624
12,3.16227766,0.4,0.0004,1000,0.003162278,118.5,62.31620553,1.065746087,0.521400778,0.289198606,861,249,612
13,10,0.4,0.0004,1000,0.01,105.5,57.81027668,0.951643407,0.494163424,0.280417149,863,242,621
14,31.6227766,0.4,0.0004,1000,0.031622777,89.5,49.31225296,0.780444288,0.377431907,0.229585799,845,194,651
15,100,0.4,0.0004,1000,0.1,66,37.60079051,0.588769826,0.26459144,0.174372523,757,132,625
16,3.16227766,0.4,0.000126491,3162.27766,0.001,119.5,64.08695652,1.074820181,0.536964981,0.304152637,891,271,620
17,10,0.4,0.000126491,3162.27766,0.003162278,109,58.54150198,0.981301084,0.501945525,0.266591676,889,237,652
18,31.6227766,0.4,0.000126491,3162.27766,0.01,89.5,50.4743083,0.80097375,0.350194553,0.209386282,831,174,657
19,100,0.4,0.000126491,3162.27766,0.031622777,68,38.49011858,0.600171074,0.299610895,0.202614379,765,155,610
20,316.227766,0.4,0.000126491,3162.27766,0.1,49.5,28.31620553,0.433554102,0.233463035,0.137651822,741,102,639
21,10,0.4,0.00004,10000,0.001,106.5,57.5770751,0.953916441,0.428015564,0.236811254,853,202,651
22,31.6227766,0.4,0.00004,10000,0.003162278,87.5,49.39525692,0.787299469,0.40077821,0.225204201,857,193,664
23,100,0.4,0.00004,10000,0.01,67.5,37.63241107,0.597898041,0.272373541,0.183225806,775,142,633
24,316.227766,0.4,0.00004,10000,0.031622777,48,27.53754941,0.406205539,0.19844358,0.142469471,737,105,632
25,1000,0.4,0.00004,10000,0.1,34,18.96047431,0.282974645,0.143968872,0.098995696,697,69,628
26,0.1,1.264911064,0.012649111,100,0.001,67.5,34.63636364,0.611590362,0.657587549,0.618691589,535,331,204
27,0.316227766,1.264911064,0.012649111,100,0.003162278,68,34.00395257,0.613863396,0.712062257,0.66419295,539,358,181
28,1,1.264911064,0.012649111,100,0.01,65.5,34.01976285,0.588769826,0.696498054,0.652336449,535,349,186
29,3.16227766,1.264911064,0.012649111,100,0.031622777,60.5,33,0.547692862,0.813229572,0.730275229,545,398,147
30,10,1.264911064,0.012649111,100,0.1,50.5,28.93280632,0.451846611,0.696498054,0.617486339,549,339,210
31,0.316227766,1.264911064,0.004,316.227766,0.001,67.5,35.08300395,0.604735181,0.661478599,0.617810761,539,333,206
32,1,1.264911064,0.004,316.227766,0.003162278,66,34.56126482,0.593333933,0.673151751,0.604051565,543,328,215
33,3.16227766,1.264911064,0.004,316.227766,0.01,61.5,33.40711462,0.552256969,0.680933852,0.609800363,551,336,215
34,10,1.264911064,0.004,316.227766,0.031622777,50.5,29.75889328,0.451846611,0.712062257,0.640653358,551,353,198
35,31.6227766,1.264911064,0.004,316.227766,0.1,32.5,20.48221344,0.282974645,0.610894942,0.585635359,543,318,225
36,1,1.264911064,0.001264911,1000,0.001,67,33.84980237,0.604735181,0.677042802,0.629294756,553,348,205
37,3.16227766,1.264911064,0.001264911,1000,0.003162278,61.5,32.99604743,0.552275009,0.739299611,0.642458101,537,345,192
38,10,1.264911064,0.001264911,1000,0.01,50,29.07509881,0.449573577,0.73540856,0.649373882,559,363,196
39,31.6227766,1.264911064,0.001264911,1000,0.031622777,31,19.56916996,0.276119464,0.6692607,0.651031895,533,347,186
40,100,1.264911064,0.001264911,1000,0.1,14.5,9.011857708,0.118684827,0.529182879,0.56952381,525,299,226
41,3.16227766,1.264911064,0.0004,3162.27766,0.001,62,33.84189723,0.556821076,0.747081712,0.648994516,547,355,192
42,10,1.264911064,0.0004,3162.27766,0.003162278,50,29.65217391,0.447282504,0.653696498,0.606170599,551,334,217
43,31.6227766,1.264911064,0.0004,3162.27766,0.01,32.5,20.32806324,0.285247679,0.700389105,0.650822669,547,356,191
44,100,1.264911064,0.0004,3162.27766,0.031622777,15,9.909090909,0.12092178,0.607003891,0.614800759,527,324,203
45,316.227766,1.264911064,0.0004,3162.27766,0.1,6.5,4.229249012,0.047932145,0.552529183,0.59344894,519,308,211
46,10,1.264911064,0.000126491,10000,0.001,50,28.80632411,0.449555537,0.688715953,0.639853748,547,350,197
47,31.6227766,1.264911064,0.000126491,10000,0.003162278,31,19.38339921,0.276137504,0.59922179,0.590654206,535,316,219
48,100,1.264911064,0.000126491,10000,0.01,14,8.992094862,0.116393753,0.607003891,0.588910134,523,308,215
49,316.227766,1.264911064,0.000126491,10000,0.031622777,5.5,3.071146245,0.036530897,0.525291829,0.545105566,521,284,237
50,1000,1.264911064,0.000126491,10000,0.1,2,1.09486166,0.009128214,0.46692607,0.537717602,517,278,239
