Run num,max height,mean height,mean slope,mean soil thickness,,Max height,Mean height,Mean gradient,,Mn ht ratio,Uplint,
1,12.5,7.045454545,0.493344508,7.305084746,,13.5,7.518181818,0.5460392,,1,100,
2,10,6.118181818,0.399028646,6.440677966,,13,7.281818182,0.503654339,,1,100,
3,7,4.136363636,0.252018092,4.593220339,,10.5,6.372727273,0.420030154,,2,100,
4,3.5,2.081818182,0.105007538,2.677966102,,7,4.427272727,0.2730196,,2,100,
5,2.5,1.409090909,0.052694692,2.050847458,,3.5,2.045454545,0.115317369,,1,100,
6,10.5,6.245454545,0.409720323,6.559322034,,12.5,7.263636364,0.504036184,,1,316,
7,7,4.463636364,0.2730196,4.898305085,,11,6.627272727,0.441031661,,1,316,
8,3,2.027272727,0.094315862,2.627118644,,7.5,4.518181818,0.283329431,,2,316,
9,2,1.390909091,0.052312846,2.033898305,,3.5,2.063636364,0.126009046,,1,316,
10,2.5,1.372727273,0.042003015,2.016949153,,2,1.045454545,0.052503769,,1,316,
11,7,4.227272727,0.262327923,4.677966102,,11,6.263636364,0.420030154,,1,1000,
12,3.5,1.972727273,0.094315862,2.576271186,,7,4.427272727,0.2730196,,2,1000,
13,2.5,1.354545455,0.042003015,2,,3.5,2.063636364,0.126009046,,2,1000,
14,2.5,1.427272727,0.052312846,2.06779661,,2,1.063636364,0.047157931,,1,1000,
15,2.5,1.372727273,0.0736962,2.016949153,,1.5,0.881818182,0.031693184,,1,1000,
16,3.5,2.045454545,0.105007538,2.644067797,,7,4.445454545,0.262327923,,2,3162,
17,2,1.318181818,0.063004523,1.966101695,,3.5,1.954545455,0.099470777,,1,3162,
18,2,1.318181818,0.052694692,1.966101695,,2,1.063636364,0.052694692,,1,3162,
19,2,1.372727273,0.063004523,2.016949153,,1.5,0.881818182,0.031693184,,1,3162,
20,2,1.372727273,0.052312846,2.016949153,,2,0.827272727,0.052694692,,1,3162,
21,2,1.336363636,0.042003015,1.983050847,,3.5,1.954545455,0.115317369,,1,10000,
22,2,1.354545455,0.063004523,2,,2,1.1,0.063004523,,1,10000,
23,2.5,1.3,0.063386369,1.949152542,,2,0.827272727,0.021001508,,1,10000,
24,3,1.263636364,0.063004523,1.915254237,,1.5,0.772727273,0.047348854,,1,10000,
25,3,1.336363636,0.0736962,1.983050847,,2,0.845454545,0.063195446,,1,10000,
26,22.5,12.56,0.502294968,12.82692308,,24.5,13.39,0.548483011,,1,100,
27,19,11.02,0.421465893,11.34615385,,24,13.1,0.531162495,,1,100,
28,12,7.61,0.259807742,8.067307692,,21,12.29,0.467653936,,2,100,
29,5.5,3.36,0.109696602,3.980769231,,16.5,10.01,0.352183828,,3,100,
30,2.5,1.61,0.034641032,2.298076923,,9.5,5.78,0.196299183,,4,100,
31,19,11.02,0.415692388,11.34615385,,24.5,14.01,0.536936001,,1,316,
32,13,7.76,0.277128258,8.211538462,,22.5,13.15,0.479200947,,2,316,
33,5.5,3.29,0.098149592,3.913461538,,17.5,10.92,0.357957334,,3,316,
34,2.5,1.57,0.034641032,2.259615385,,10,6.82,0.196299183,,4,316,
35,2.5,1.49,0.023094022,2.182692308,,4,2.27,0.069282065,,2,316,
36,13,7.75,0.277128258,8.201923077,,21.5,12.13,0.479200947,,2,1000,
37,5,3.3,0.092376086,3.923076923,,16.5,9.95,0.352183828,,3,1000,
38,2.5,1.6,0.023094022,2.288461538,,9,5.79,0.184752172,,4,1000,
